Model: ,Oscilloscope DSO-X 4022A
Serial Number:,MY57310245
Address: ,USBInstrument1
Date: ,2026-07-10 18:33:23

Sample Number,Time (s),2 (VOLT),
347,-0.00323021,-13.5329633504152,
348,-0.003225095,-13.7003273665905,
349,-0.00321998,-13.5329633504152,
350,-0.003214865,-13.7003273665905,
351,-0.00320975,-13.8676913827658,
352,-0.003204635,-13.5329633504152,
353,-0.00319952,13.0779152214527,
354,-0.003194405,14.0820993185043,
355,-0.00318929,13.7473712861538,
356,-0.003184175,13.9147353023291,
357,-0.00317906,13.7473712861538,
358,-0.003173945,14.0820993185043,
359,-0.00316883,13.7473712861538,
360,-0.003163715,13.9147353023291,
361,-0.0031586,13.9147353023291,
362,-0.003153485,13.9147353023291,
363,-0.00314837,13.7473712861538,
364,-0.003143255,14.0820993185043,
365,-0.00313814,13.9147353023291,
366,-0.003133025,13.7473712861538,
367,-0.00312791,13.7473712861538,
368,-0.003122795,14.0820993185043,
369,-0.00311768,13.7473712861538,
370,-0.003112565,13.7473712861538,
371,-0.00310745,13.9147353023291,
372,-0.003102335,13.9147353023291,
373,-0.00309722,-13.5329633504152,
374,-0.003092105,-13.5329633504152,
375,-0.00308699,-13.7003273665905,
376,-0.003081875,-13.7003273665905,
377,-0.00307676,-13.7003273665905,
378,-0.003071645,-13.5329633504152,
379,-0.00306653,-13.5329633504152,
380,-0.003061415,-13.7003273665905,
381,-0.0030563,-13.7003273665905,
382,-0.003051185,-13.5329633504152,
383,-0.00304607,-13.8676913827658,
384,-0.003040955,-13.5329633504152,
385,-0.00303584,-13.7003273665905,
386,-0.003030725,-13.36559933424,
387,-0.00302561,-13.7003273665905,
388,-0.003020495,-13.5329633504152,
389,-0.00301538,-13.7003273665905,
390,-0.003010265,-13.5329633504152,
391,-0.00300515,-13.5329633504152,
392,-0.003000035,-13.7003273665905,
393,-0.00299492,-13.7003273665905,
394,-0.002989805,-13.5329633504152,
395,-0.00298469,-13.7003273665905,
396,-0.002979575,-13.5329633504152,
397,-0.00297446,-13.7003273665905,
398,-0.002969345,-13.7003273665905,
399,-0.00296423,-13.7003273665905,
400,-0.002959115,-13.7003273665905,
401,-0.002954,-13.5329633504152,
402,-0.002948885,-13.7003273665905,
403,-0.00294377,-13.7003273665905,
404,-0.002938655,-13.7003273665905,
405,-0.00293354,-13.7003273665905,
406,-0.002928425,-13.5329633504152,
407,-0.00292331,-13.7003273665905,
408,-0.002918195,-13.7003273665905,
409,-0.00291308,-13.5329633504152,
410,-0.002907965,-13.5329633504152,
411,-0.00290285,-13.7003273665905,
412,-0.002897735,13.9147353023291,
