Model: ,Oscilloscope DSO-X 4022A
Serial Number:,MY57310245
Address: ,USBInstrument1
Date: ,2026-07-10 19:09:41

Sample Number,Time (s),1 (VOLT),2 (VOLT),
107,-0.000222864,-0.0260666608810425,3.28280378878117,
108,-0.000222608,-0.0260666608810425,3.45016780495644,
109,-0.000222352,-0.0260666608810425,3.28280378878117,
110,-0.000222096,-0.093012273311615,3.61753182113171,
111,-0.00022184,-0.093012273311615,3.45016780495644,
112,-0.000221584,-0.0260666608810425,3.28280378878117,
113,-0.000221328,-0.0260666608810425,3.45016780495644,
114,-0.000221072,-0.0260666608810425,3.28280378878117,
115,-0.000220816,-0.0260666608810425,3.45016780495644,
116,-0.00022056,-0.0260666608810425,3.28280378878117,
117,-0.000220304,-0.0260666608810425,3.45016780495644,
118,-0.000220048,-0.0260666608810425,3.45016780495644,
119,-0.000219792,-0.0260666608810425,3.45016780495644,
120,-0.000219536,-0.0260666608810425,3.45016780495644,
121,-0.00021928,-0.0260666608810425,3.45016780495644,
122,-0.000219024,-0.093012273311615,3.45016780495644,
123,-0.000218768,-0.0260666608810425,3.45016780495644,
124,-0.000218512,-0.0260666608810425,3.28280378878117,
125,-0.000218256,-0.0260666608810425,3.28280378878117,
126,-0.000218,-0.0260666608810425,3.28280378878117,
127,-0.000217744,-0.0260666608810425,3.1154397726059,
128,-0.000217488,-0.093012273311615,3.61753182113171,
129,-0.000217232,-0.093012273311615,3.28280378878117,
130,-0.000216976,-0.0260666608810425,3.28280378878117,
131,-0.00021672,-0.0260666608810425,3.45016780495644,
132,-0.000216464,-0.0260666608810425,3.1154397726059,
133,-0.000216208,-0.0260666608810425,3.1154397726059,
134,-0.000215952,-0.0260666608810425,3.1154397726059,
135,-0.000215696,-0.0260666608810425,3.28280378878117,
136,-0.00021544,-0.0260666608810425,3.78489583730698,
137,-0.000215184,-0.0260666608810425,3.28280378878117,
138,-0.000214928,-0.0260666608810425,3.28280378878117,
139,-0.000214672,-0.0260666608810425,3.45016780495644,
140,-0.000214416,-0.0260666608810425,3.28280378878117,
141,-0.00021416,-0.093012273311615,3.45016780495644,
142,-0.000213904,-0.0260666608810425,3.28280378878117,
143,-0.000213648,-0.0260666608810425,3.45016780495644,
144,-0.000213392,-0.0260666608810425,3.1154397726059,
145,-0.000213136,-0.0260666608810425,3.1154397726059,
146,-0.00021288,-0.0260666608810425,3.45016780495644,
147,-0.000212624,-0.0260666608810425,3.45016780495644,
148,-0.000212368,-0.0260666608810425,3.61753182113171,
149,-0.000212112,-0.0260666608810425,3.28280378878117,
150,-0.000211856,-0.0260666608810425,3.28280378878117,
151,-0.0002116,-0.0260666608810425,3.45016780495644,
152,-0.000211344,-0.0260666608810425,3.45016780495644,
153,-0.000211088,-0.093012273311615,3.78489583730698,
154,-0.000210832,-0.093012273311615,3.45016780495644,
155,-0.000210576,-0.093012273311615,3.45016780495644,
156,-0.00021032,-0.0260666608810425,3.45016780495644,
157,-0.000210064,-0.0260666608810425,3.1154397726059,
158,-0.000209808,-0.0260666608810425,3.45016780495644,
159,-0.000209552,-0.093012273311615,3.45016780495644,
160,-0.000209296,-0.0260666608810425,3.45016780495644,
161,-0.00020904,-0.093012273311615,3.45016780495644,
162,-0.000208784,-0.0260666608810425,3.28280378878117,
163,-0.000208528,-0.0260666608810425,3.45016780495644,
164,-0.000208272,-0.0260666608810425,3.45016780495644,
165,-0.000208016,-0.0260666608810425,3.45016780495644,
166,-0.00020776,-0.0260666608810425,3.45016780495644,
167,-0.000207504,-0.093012273311615,3.45016780495644,
168,-0.000207248,-0.0260666608810425,3.45016780495644,
169,-0.000206992,-0.0260666608810425,3.45016780495644,
170,-0.000206736,-0.093012273311615,3.28280378878117,
171,-0.00020648,-0.0260666608810425,3.45016780495644,
172,-0.000206224,-0.0260666608810425,3.28280378878117,
173,-0.000205968,-0.0260666608810425,3.45016780495644,
174,-0.000205712,-0.093012273311615,3.45016780495644,
175,-0.000205456,-0.093012273311615,3.45016780495644,
176,-0.0002052,-0.093012273311615,3.45016780495644,
177,-0.000204944,-0.0260666608810425,3.45016780495644,
178,-0.000204688,-0.0260666608810425,3.45016780495644,
179,-0.000204432,-0.0260666608810425,3.78489583730698,
180,-0.000204176,-0.0260666608810425,3.45016780495644,
181,-0.00020392,-0.0260666608810425,3.45016780495644,
182,-0.000203664,-0.0260666608810425,3.28280378878117,
183,-0.000203408,-0.0260666608810425,3.61753182113171,
184,-0.000203152,-0.0260666608810425,3.61753182113171,
185,-0.000202896,-0.0260666608810425,3.45016780495644,
186,-0.00020264,-0.093012273311615,3.45016780495644,
187,-0.000202384,-0.093012273311615,3.1154397726059,
188,-0.000202128,-0.0260666608810425,3.61753182113171,
189,-0.000201872,-0.0260666608810425,3.45016780495644,
190,-0.000201616,-0.0260666608810425,3.28280378878117,
191,-0.00020136,-0.0260666608810425,3.45016780495644,
192,-0.000201104,-0.0260666608810425,3.28280378878117,
193,-0.000200848,-0.0260666608810425,3.28280378878117,
194,-0.000200592,-0.093012273311615,3.28280378878117,
195,-0.000200336,-0.0260666608810425,3.28280378878117,
196,-0.00020008,-0.0260666608810425,3.95225985348225,
197,-0.000199824,3.25426834821701,2.94807575643063,
198,-0.000199568,3.18732273578644,-2.57493677735329,
199,-0.000199312,3.18732273578644,-3.57912087440491,
200,-0.000199056,3.18732273578644,-4.08121292293072,
201,-0.0001988,3.18732273578644,-3.57912087440491,
202,-0.000198544,3.12037712335587,-3.57912087440491,
203,-0.000198288,3.12037712335587,-3.57912087440491,
204,-0.000198032,3.18732273578644,-3.57912087440491,
205,-0.000197776,3.18732273578644,-3.74648489058018,
206,-0.00019752,3.18732273578644,-3.57912087440491,
207,-0.000197264,3.18732273578644,-3.41175685822964,
208,-0.000197008,3.25426834821701,-3.41175685822964,
209,-0.000196752,3.25426834821701,-3.57912087440491,
210,-0.000196496,3.25426834821701,-3.57912087440491,
211,-0.00019624,3.25426834821701,-3.41175685822964,
212,-0.000195984,3.18732273578644,-3.41175685822964,
213,-0.000195728,3.25426834821701,-3.57912087440491,
214,-0.000195472,3.18732273578644,-3.24439284205437,
215,-0.000195216,3.25426834821701,-3.41175685822964,
216,-0.00019496,3.25426834821701,-3.41175685822964,
217,-0.000194704,3.25426834821701,-3.74648489058018,
218,-0.000194448,3.18732273578644,-3.41175685822964,
219,-0.000194192,3.18732273578644,-3.41175685822964,
220,-0.000193936,3.25426834821701,-3.57912087440491,
221,-0.00019368,3.18732273578644,-3.57912087440491,
222,-0.000193424,3.25426834821701,-3.57912087440491,
223,-0.000193168,3.25426834821701,-3.24439284205437,
224,-0.000192912,3.25426834821701,-3.41175685822964,
225,-0.000192656,3.25426834821701,-3.57912087440491,
226,-0.0001924,3.18732273578644,-3.24439284205437,
227,-0.000192144,3.32121396064758,-3.41175685822964,
228,-0.000191888,3.25426834821701,-3.41175685822964,
229,-0.000191632,3.25426834821701,-3.41175685822964,
230,-0.000191376,3.18732273578644,-3.74648489058018,
231,-0.00019112,3.25426834821701,-2.74230079352856,
232,-0.000190864,3.18732273578644,-3.24439284205437,
233,-0.000190608,3.25426834821701,-3.41175685822964,
234,-0.000190352,3.25426834821701,-3.24439284205437,
235,-0.000190096,3.18732273578644,-3.57912087440491,
236,-0.00018984,3.25426834821701,-3.41175685822964,
237,-0.000189584,3.25426834821701,-3.41175685822964,
238,-0.000189328,3.25426834821701,-3.41175685822964,
239,-0.000189072,3.25426834821701,-2.74230079352856,
240,-0.000188816,3.18732273578644,-3.57912087440491,
241,-0.00018856,3.25426834821701,-3.57912087440491,
242,-0.000188304,3.25426834821701,-3.41175685822964,
243,-0.000188048,3.25426834821701,-3.74648489058018,
244,-0.000187792,3.25426834821701,-3.57912087440491,
245,-0.000187536,3.18732273578644,-3.57912087440491,
246,-0.00018728,3.25426834821701,-3.57912087440491,
