Model: ,Oscilloscope DSO-X 4022A
Serial Number:,MY57310245
Address: ,USBInstrument1
Date: ,2026-07-10 19:10:17

Sample Number,Time (s),1 (VOLT),2 (VOLT),
831,-3.752E-05,-0.0260666608810425,-1.64648574590683,
832,-3.7264E-05,-0.0260666608810425,-1.78037697076797,
833,-3.7008E-05,0.04087895154953,-1.84732258319855,
834,-3.6752E-05,-0.0260666608810425,-1.84732258319855,
835,-3.6496E-05,-0.0260666608810425,-1.78037697076797,
836,-3.624E-05,-0.0260666608810425,-1.84732258319855,
837,-3.5984E-05,-0.0260666608810425,-1.84732258319855,
838,-3.5728E-05,-0.0260666608810425,-1.84732258319855,
839,-3.5472E-05,-0.0260666608810425,-1.91426819562912,
840,-3.5216E-05,-0.0260666608810425,-1.91426819562912,
841,-3.496E-05,-0.0260666608810425,-1.7134313583374,
842,-3.4704E-05,-0.0260666608810425,-1.91426819562912,
843,-3.4448E-05,-0.093012273311615,-1.84732258319855,
844,-3.4192E-05,-0.0260666608810425,-1.7134313583374,
845,-3.3936E-05,-0.093012273311615,-1.91426819562912,
846,-3.368E-05,-0.0260666608810425,-1.64648574590683,
847,-3.3424E-05,-0.093012273311615,-1.64648574590683,
848,-3.3168E-05,-0.0260666608810425,-1.7134313583374,
849,-3.2912E-05,-0.0260666608810425,-1.57954013347626,
850,-3.2656E-05,-0.0260666608810425,-1.7134313583374,
851,-3.24E-05,-0.093012273311615,-1.78037697076797,
852,-3.2144E-05,-0.093012273311615,-1.78037697076797,
853,-3.1888E-05,-0.0260666608810425,-2.04815942049026,
854,-3.1632E-05,-0.0260666608810425,-1.7134313583374,
855,-3.1376E-05,-0.0260666608810425,-1.78037697076797,
856,-3.112E-05,-0.0260666608810425,-1.84732258319855,
857,-3.0864E-05,-0.093012273311615,-1.7134313583374,
858,-3.0608E-05,-0.093012273311615,-1.98121380805969,
859,-3.0352E-05,-0.0260666608810425,-1.84732258319855,
860,-3.0096E-05,-0.0260666608810425,-1.84732258319855,
861,-2.984E-05,-0.0260666608810425,-1.64648574590683,
862,-2.9584E-05,-0.0260666608810425,-1.91426819562912,
863,-2.9328E-05,-0.093012273311615,-1.91426819562912,
864,-2.9072E-05,-0.0260666608810425,-1.78037697076797,
865,-2.8816E-05,-0.0260666608810425,-1.91426819562912,
866,-2.856E-05,-0.0260666608810425,-1.84732258319855,
867,-2.8304E-05,-0.0260666608810425,-1.78037697076797,
868,-2.8048E-05,-0.0260666608810425,-1.78037697076797,
869,-2.7792E-05,-0.0260666608810425,-1.78037697076797,
870,-2.7536E-05,-0.0260666608810425,-2.31594187021255,
871,-2.728E-05,-0.0260666608810425,-1.78037697076797,
872,-2.7024E-05,-0.0260666608810425,-1.7134313583374,
